city,country,lat,lon,temp,humid,cloud,windsp
severo-yeniseyskiy,ru,60.3725,93.0408,35.29,96,100,11.95
huarmey,pe,-10.0681,-78.1522,62.85,86,27,7.38
aquiraz,br,-3.9014,-38.3911,83.32,67,69,10.4
saint-ambroise,ca,48.5501,-71.3324,36.45,81,90,3.85
makamba,bi,-4.1348,29.804,74.75,56,38,2.51
roald,no,62.5833,6.1333,53.74,66,75,17.27
busselton,au,-33.65,115.3333,75.04,63,100,10.36
progreso,mx,21.2833,-89.6667,75.11,89,91,8.77
komsomolskiy,ru,40.4272,71.7189,57.92,28,0,2.3
okha,ru,53.5739,142.9478,37.27,71,95,12.35
bambous virieux,mu,-20.3428,57.7575,79.05,69,75,16.11
severnyy,ru,50.677,36.5532,37.44,70,0,8.95
atuona,pf,-9.8,-139.0333,78.17,76,20,19.62
namikupa,tz,-10.8333,39.6,83.59,51,53,6.6
pevek,ru,69.7008,170.3133,9.07,93,100,5.19
tual,id,-5.6667,132.75,83.7,74,97,9.48
kapaa,us,22.0752,-159.319,75,84,40,1.01
ribeira grande,pt,38.5167,-28.7,63,72,20,10.36
hermanus,za,-34.4187,19.2345,58.8,66,10,5.61
thompson,ca,55.7435,-97.8558,23.16,93,1,2.3
flinders,au,-34.5833,150.8552,67.14,62,21,9.64
bredasdorp,za,-34.5322,20.0403,58.28,58,20,2.57
bluff,nz,-46.6,168.3333,51.93,93,100,8.97
dingle,ie,10.9995,122.6711,86.88,70,98,5.95
ushuaia,ar,-54.8,-68.3,33.46,86,75,8.05
namatanai,pg,-3.6667,152.4333,83.66,72,54,8.14
locri,it,38.2414,16.2623,70.36,88,100,16.37
vaxjo,se,56.8777,14.8091,37.45,100,75,6.91
vardo,no,70.3705,31.1107,37.76,63,59,27.16
dakar,sn,14.6937,-17.4441,76.08,67,82,8.12
ponta do sol,cv,32.6667,-17.1,67.53,64,19,6.76
puerto colombia,co,10.9878,-74.9547,77.09,76,87,3.22
rikitea,pf,-23.1203,-134.9692,75.25,76,100,20.4
nizwa,om,22.9333,57.5333,83.1,42,1,4.99
vostok,ru,46.4856,135.8833,46.87,46,0,7.29
tiksi,ru,71.6872,128.8694,4.06,93,100,9.48
srednekolymsk,ru,67.45,153.6833,-8.66,95,29,3.44
acarau,br,-2.8856,-40.12,78.75,81,97,10.18
